Id,Picture,Name,Price,Description,Category
1,photo1.png,Mouton,7,7.5x8.5cm / 80g,chocolats
2,photo2.png,Boite de sardines,9,11x6.5cm / 110g,chocolats
3,photo3.png,Poulette,7,7.5x6cm / 80g,chocolats
4,photo4.png,Mlle Hortense et Monsieur Denis,13,14x12cm / 180g,chocolats
5,photo5.png,Mr Renard,8,11x12cm / 110g,chocolats
6,photo6.png,Lapin Ori,8,13x11cm / 110g,chocolats
7,photo7.png,JADE la Licorne,8,13x12cm / 110g,chocolats
8,photo8.png,Lapin Astronaute,11,15x9cm / 150g,chocolats
9,photo9.png,Fusée,11,9x15cm / 150g,chocolats
10,photo10.png,Oeufs,9,Vague/lisse - 13cm / 120g,chocolats
11,photo11.png,Oeufs,13,Etoile/vagues/fleur - 13cm / 110g,chocolats
